facility: Ormond Beach Power, LLC. | units: ['1', '2']
bids: 871,245 seq-hours across 92 days, 1407 seqs

=== unit 1: pmax(CEMS)=656 MW, run hours=25, run days=2/92
capacity band candidates: 28 of 1407 seqs
   seq  max_mw  cap_ratio  active_hours  run_hour_coverage  run_day_coverage  selfsched_days  clear_day_jaccard  runday_price_delta
160605  407.00   0.620427            78               0.00               1.0               0              0.029               -6.89
944410  407.00   0.620427            77               0.00               1.0               0              0.028               -4.84
879947  404.00   0.615854            78               0.00               1.0               0              0.027               -5.86
122779  493.63   0.752485           188               0.12               1.0               0              0.025                2.09
114630  597.05   0.910137          2106               1.00               1.0               0              0.022               -1.38
123314  603.60   0.920122          1757               1.00               1.0               0              0.022               -1.18
166600  799.47   1.218704          2105               1.00               1.0               0              0.022               -0.41
172074  586.00   0.893293          2168               1.00               1.0               0              0.022               -1.37

=== unit 2: pmax(CEMS)=513 MW, run hours=15, run days=1/92
capacity band candidates: 37 of 1407 seqs
   seq  max_mw  cap_ratio  active_hours  run_hour_coverage  run_day_coverage  selfsched_days  clear_day_jaccard  runday_price_delta
658374  302.58   0.589825          1272              0.933               1.0               0              0.015                0.00
129696  302.00   0.588694          1331              1.000               1.0               0              0.014               -0.54
160605  407.00   0.793372            78              0.000               1.0               0              0.014                0.00
879947  404.00   0.787524            78              0.000               1.0               0              0.014                0.00
944410  407.00   0.793372            77              0.000               1.0               0              0.014                0.00
133660  336.04   0.655049          2167              1.000               1.0               0              0.012                0.30
579322  322.00   0.627680           792              0.667               1.0               0              0.012               16.71
122779  493.63   0.962242           188              0.000               1.0               0              0.012                8.19
